Target,Scene,Indoor/Outdoor,Location,Step,x-value,y-value,z-value,x-rotation,y-rotation,z-rotation,Scene upload,Notes
soap25,bathroom,indoor,right,0.1875,-11,2.4,-13.5,24,0,0,done,
soap24,bathroom,indoor,right,0.1875,-11,2.4,-13.6875,23,0,0,,
soap23,bathroom,indoor,right,0.1875,-11,2.4,-13.875,22,0,0,,
soap22,bathroom,indoor,right,0.1875,-11,2.4,-14.0625,21,0,0,,
soap21,bathroom,indoor,right,0.1875,-11,2.4,-14.25,20,0,0,,
soap20,bathroom,indoor,right,0.1875,-11,2.4,-14.4375,19,0,0,,
soap19,bathroom,indoor,right,0.1875,-11,2.4,-14.625,18,0,0,,
soap18,bathroom,indoor,right,0.1875,-11,2.4,-14.8125,17,0,0,,
soap17,bathroom,indoor,right,0.1875,-11,2.4,-15,16,0,0,,
soap16,bathroom,indoor,right,0.1875,-11,2.4,-15.1875,15,0,0,,
soap15,bathroom,indoor,right,0.1875,-11,2.4,-15.375,14,0,0,,
soap14,bathroom,indoor,right,0.1875,-11,2.4,-15.5625,13,0,0,,
soap13,bathroom,indoor,right,0.1875,-11,2.4,-15.75,12,0,0,,
soap12,bathroom,indoor,right,0.1875,-11,2.4,-15.9375,11,0,0,,
soap11,bathroom,indoor,right,0.1875,-11,2.4,-16.125,10,0,0,,
soap10,bathroom,indoor,right,0.1875,-11,2.4,-16.3125,9,0,0,,
soap09,bathroom,indoor,right,0.1875,-11,2.4,-16.5,8,0,0,,
soap08,bathroom,indoor,right,0.1875,-11,2.4,-16.6875,7,0,0,,
soap07,bathroom,indoor,right,0.1875,-11,2.4,-16.875,6,0,0,,
soap06,bathroom,indoor,right,0.1875,-11,2.4,-17.0625,5,0,0,,
soap05,bathroom,indoor,right,0.1875,-11,2.4,-17.25,4,0,0,,
soap04,bathroom,indoor,right,0.1875,-11,2.4,-17.4375,3,0,0,,
soap03,bathroom,indoor,right,0.1875,-11,2.4,-17.625,2,0,0,,
soap02,bathroom,indoor,right,0.1875,-11,2.4,-17.8125,1,0,0,,
soap01,bathroom,indoor,right,0.1875,-11,2.4,-18,0,0,0,,
microwave25,breakroom,indoor,left,0.1875,36,1.5,50.7,24,0,0,,
microwave24,breakroom,indoor,left,0.1875,36,1.5,50.5125,23,0,0,,
microwave23,breakroom,indoor,left,0.1875,36,1.5,50.325,22,0,0,,
microwave22,breakroom,indoor,left,0.1875,36,1.5,50.1375,21,0,0,,
microwave21,breakroom,indoor,left,0.1875,36,1.5,49.95,20,0,0,,
microwave20,breakroom,indoor,left,0.1875,36,1.5,49.7625,19,0,0,,
microwave19,breakroom,indoor,left,0.1875,36,1.5,49.575,18,0,0,,
microwave18,breakroom,indoor,left,0.1875,36,1.5,49.3875,17,0,0,,
microwave17,breakroom,indoor,left,0.1875,36,1.5,49.2,16,0,0,,
microwave16,breakroom,indoor,left,0.1875,36,1.5,49.0125,15,0,0,,
microwave15,breakroom,indoor,left,0.1875,36,1.5,48.825,14,0,0,,
microwave14,breakroom,indoor,left,0.1875,36,1.5,48.6375,13,0,0,,
microwave13,breakroom,indoor,left,0.1875,36,1.5,48.45,12,0,0,,
microwave12,breakroom,indoor,left,0.1875,36,1.5,48.2625,11,0,0,,
microwave11,breakroom,indoor,left,0.1875,36,1.5,48.075,10,0,0,,
microwave10,breakroom,indoor,left,0.1875,36,1.5,47.8875,9,0,0,,
microwave09,breakroom,indoor,left,0.1875,36,1.5,47.7,8,0,0,,
microwave08,breakroom,indoor,left,0.1875,36,1.5,47.5125,7,0,0,,
microwave07,breakroom,indoor,left,0.1875,36,1.5,47.325,6,0,0,,
microwave06,breakroom,indoor,left,0.1875,36,1.5,47.1375,5,0,0,,
microwave05,breakroom,indoor,left,0.1875,36,1.5,46.95,4,0,0,,
microwave04,breakroom,indoor,left,0.1875,36,1.5,46.7625,3,0,0,,
microwave03,breakroom,indoor,left,0.1875,36,1.5,46.575,2,0,0,,
microwave02,breakroom,indoor,left,0.1875,36,1.5,46.3875,1,0,0,,
microwave01,breakroom,indoor,left,0.1875,36,1.5,46.2,0,0,0,,
lamp25,bunkbed,indoor,left,0.1875,-20,2.4,10,24,0,0,done,
lamp24,bunkbed,indoor,left,0.1875,-20,2.4,9.8125,23,0,0,,
lamp23,bunkbed,indoor,left,0.1875,-20,2.4,9.625,22,0,0,,
lamp22,bunkbed,indoor,left,0.1875,-20,2.4,9.4375,21,0,0,,
lamp21,bunkbed,indoor,left,0.1875,-20,2.4,9.25,20,0,0,,
lamp20,bunkbed,indoor,left,0.1875,-20,2.4,9.0625,19,0,0,,
lamp19,bunkbed,indoor,left,0.1875,-20,2.4,8.875,18,0,0,,
lamp18,bunkbed,indoor,left,0.1875,-20,2.4,8.6875,17,0,0,,
lamp17,bunkbed,indoor,left,0.1875,-20,2.4,8.5,16,0,0,,
lamp16,bunkbed,indoor,left,0.1875,-20,2.4,8.3125,15,0,0,,
lamp15,bunkbed,indoor,left,0.1875,-20,2.4,8.125,14,0,0,,
lamp14,bunkbed,indoor,left,0.1875,-20,2.4,7.9375,13,0,0,,
lamp13,bunkbed,indoor,left,0.1875,-20,2.4,7.75,12,0,0,,
lamp12,bunkbed,indoor,left,0.1875,-20,2.4,7.5625,11,0,0,,
lamp11,bunkbed,indoor,left,0.1875,-20,2.4,7.375,10,0,0,,
lamp10,bunkbed,indoor,left,0.1875,-20,2.4,7.1875,9,0,0,,
lamp09,bunkbed,indoor,left,0.1875,-20,2.4,7,8,0,0,,
lamp08,bunkbed,indoor,left,0.1875,-20,2.4,6.8125,7,0,0,,
lamp07,bunkbed,indoor,left,0.1875,-20,2.4,6.625,6,0,0,,
lamp06,bunkbed,indoor,left,0.1875,-20,2.4,6.4375,5,0,0,,
lamp05,bunkbed,indoor,left,0.1875,-20,2.4,6.25,4,0,0,,
lamp04,bunkbed,indoor,left,0.1875,-20,2.4,6.0625,3,0,0,,
lamp03,bunkbed,indoor,left,0.1875,-20,2.4,5.875,2,0,0,,
lamp02,bunkbed,indoor,left,0.1875,-20,2.4,5.6875,1,0,0,,
lamp01,bunkbed,indoor,left,0.1875,-20,2.4,5.5,0,0,0,,
firealarm25,classroom,indoor,right,0.1875,33.15,1,58.192,24,180,0,,
firealarm24,classroom,indoor,right,0.1875,33.15,1,58.3795,23,180,0,,
firealarm23,classroom,indoor,right,0.1875,33.15,1,58.567,22,180,0,,
firealarm22,classroom,indoor,right,0.1875,33.15,1,58.7545,21,180,0,,
firealarm21,classroom,indoor,right,0.1875,33.15,1,58.942,20,180,0,,
firealarm20,classroom,indoor,right,0.1875,33.15,1,59.1295,19,180,0,,
firealarm19,classroom,indoor,right,0.1875,33.15,1,59.317,18,180,0,,
firealarm18,classroom,indoor,right,0.1875,33.15,1,59.5045,17,180,0,,
firealarm17,classroom,indoor,right,0.1875,33.15,1,59.692,16,180,0,,
firealarm16,classroom,indoor,right,0.1875,33.15,1,59.8795,15,180,0,,
firealarm15,classroom,indoor,right,0.1875,33.15,1,60.067,14,180,0,,
firealarm14,classroom,indoor,right,0.1875,33.15,1,60.2545,13,180,0,,
firealarm13,classroom,indoor,right,0.1875,33.15,1,60.442,12,180,0,,
firealarm12,classroom,indoor,right,0.1875,33.15,1,60.6295,11,180,0,,
firealarm11,classroom,indoor,right,0.1875,33.15,1,60.817,10,180,0,,
firealarm10,classroom,indoor,right,0.1875,33.15,1,61.0045,9,180,0,,
firealarm09,classroom,indoor,right,0.1875,33.15,1,61.192,8,180,0,,
firealarm08,classroom,indoor,right,0.1875,33.15,1,61.3795,7,180,0,,
firealarm07,classroom,indoor,right,0.1875,33.15,1,61.567,6,180,0,,
firealarm06,classroom,indoor,right,0.1875,33.15,1,61.7545,5,180,0,,
firealarm05,classroom,indoor,right,0.1875,33.15,1,61.942,4,180,0,,
firealarm04,classroom,indoor,right,0.1875,33.15,1,62.1295,3,180,0,,
firealarm03,classroom,indoor,right,0.1875,33.15,1,62.317,2,180,0,,
firealarm02,classroom,indoor,right,0.1875,33.15,1,62.5045,1,180,0,,
firealarm01,classroom,indoor,right,0.1875,33.15,1,62.692,0,180,0,,
candle25,diningroom,indoor,right,0.1875,4,3,2.81,24,0,0,,
candle24,diningroom,indoor,right,0.1875,4,3,2.6225,23,0,0,,
candle23,diningroom,indoor,right,0.1875,4,3,2.435,22,0,0,,
candle22,diningroom,indoor,right,0.1875,4,3,2.2475,21,0,0,,
candle21,diningroom,indoor,right,0.1875,4,3,2.06,20,0,0,,
candle20,diningroom,indoor,right,0.1875,4,3,1.8725,19,0,0,,
candle19,diningroom,indoor,right,0.1875,4,3,1.685,18,0,0,,
